arquivo,mi,rank_mi
great_tables/_gt_data.py,0.0,C
great_tables/_utils_nanoplots.py,0.0,C
great_tables/_formats.py,0.0,C
great_tables/_utils_render_html.py,0.0,C
great_tables/_spanners.py,6.6447,C
great_tables/_locations.py,22.8156,A
great_tables/_tab_create_modify.py,24.0554,A
great_tables/_boxhead.py,30.4743,A
great_tables/_tbl_data.py,31.09,A
great_tables/_modify_rows.py,34.1238,A
great_tables/_substitution.py,34.8953,A
great_tables/_footnotes.py,37.1087,A
great_tables/_helpers.py,37.4042,A
great_tables/_utils_render_latex.py,39.189,A
great_tables/_locale.py,41.2148,A
great_tables/_data_color/base.py,41.9053,A
great_tables/_styles.py,42.0603,A
great_tables/data/__init__.py,42.7597,A
great_tables/_source_notes.py,46.3599,A
great_tables/_export.py,47.4758,A
great_tables/_cols_merge.py,48.0908,A
great_tables/_options.py,48.5368,A
great_tables/_formats_vals.py,49.8705,A
great_tables/gt.py,52.7667,A
great_tables/_utils_selenium.py,54.5945,A
great_tables/_utils.py,56.3927,A
great_tables/_data_color/palettes.py,57.9897,A
great_tables/shiny.py,61.4613,A
great_tables/_scss.py,62.6774,A
great_tables/_render.py,66.1244,A
great_tables/_text.py,67.513,A
great_tables/_databackend.py,73.4077,A
great_tables/_tbl_data_align.py,78.0883,A
great_tables/__init__.py,84.2306,A
great_tables/utils_render_common.py,84.8984,A
great_tables/quarto.py,88.1214,A
great_tables/_render_checks.py,88.1388,A
great_tables/_pipe.py,100.0,A
great_tables/_stub.py,100.0,A
great_tables/_stubhead.py,100.0,A
great_tables/_types.py,100.0,A
great_tables/_row_groups.py,100.0,A
great_tables/loc.py,100.0,A
great_tables/style.py,100.0,A
great_tables/_heading.py,100.0,A
great_tables/vals.py,100.0,A
great_tables/_body.py,100.0,A
great_tables/_data_color/constants.py,100.0,A
great_tables/_data_color/__init__.py,100.0,A
