arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
great_tables/_row_groups.py,0,0,0,0,0,0,0
great_tables/_data_color/__init__.py,3,2,2,0,0,1,0
great_tables/quarto.py,13,4,3,0,6,4,0
great_tables/_stub.py,25,5,4,5,8,8,5
great_tables/_types.py,8,5,5,0,0,3,0
great_tables/_stubhead.py,68,8,7,0,45,16,0
great_tables/_source_notes.py,54,8,7,0,34,13,0
great_tables/_body.py,14,7,7,2,0,5,2
great_tables/style.py,10,3,8,0,0,2,0
great_tables/_pipe.py,103,9,10,0,70,23,0
great_tables/_heading.py,87,9,13,0,58,16,0
great_tables/vals.py,20,2,17,1,0,2,1
great_tables/_render_checks.py,43,17,21,2,8,11,3
great_tables/utils_render_common.py,54,21,21,17,0,16,17
great_tables/_footnotes.py,159,28,32,11,99,21,7
great_tables/_databackend.py,52,38,35,3,0,13,4
great_tables/_render.py,44,27,35,1,0,8,1
great_tables/shiny.py,61,33,42,0,0,17,2
great_tables/__init__.py,63,16,46,5,0,12,5
great_tables/_tbl_data_align.py,122,56,64,15,15,28,15
great_tables/_utils_selenium.py,90,58,66,1,0,23,1
great_tables/_text.py,151,79,72,5,19,51,9
great_tables/loc.py,86,19,84,13,0,2,0
great_tables/_boxhead.py,417,74,85,14,226,92,14
great_tables/_tab_create_modify.py,493,78,97,8,300,89,7
great_tables/_data_color/palettes.py,182,107,100,5,21,51,10
great_tables/_scss.py,194,84,124,26,3,40,27
great_tables/_locale.py,160,215,124,2,0,34,2
great_tables/_utils.py,287,155,151,26,26,85,25
great_tables/_modify_rows.py,655,100,158,21,350,125,22
great_tables/_styles.py,412,162,161,14,161,75,15
great_tables/_substitution.py,589,156,169,21,287,113,20
great_tables/_cols_merge.py,470,189,182,26,160,100,28
great_tables/_data_color/base.py,706,216,231,77,230,169,76
great_tables/_export.py,755,163,245,44,312,153,45
great_tables/gt.py,634,270,388,45,94,104,48
great_tables/_utils_render_latex.py,797,325,396,103,79,218,104
great_tables/_spanners.py,1731,339,426,75,897,333,75
great_tables/_formats_vals.py,1527,156,428,13,884,202,13
great_tables/_locations.py,1576,461,520,103,643,300,113
great_tables/_tbl_data.py,970,534,566,47,25,318,61
great_tables/_helpers.py,1488,279,611,84,533,260,84
great_tables/_utils_nanoplots.py,1566,704,882,213,105,368,211
great_tables/_gt_data.py,1492,1020,933,167,69,321,169
great_tables/_options.py,2205,217,1026,79,910,205,64
great_tables/_utils_render_html.py,1683,678,1104,289,21,295,263
great_tables/_data_color/constants.py,1172,9,1153,11,0,8,11
great_tables/data/__init__.py,1453,140,1279,24,4,162,8
great_tables/_formats.py,6610,1635,2611,418,2444,1134,421
TOTAL,31554,8920,14751,2036,9146,5649,2008
